country,scenario,renewable_increase_pp,current_renewable_percent,new_renewable_percent,current_emissions_per_capita,baseline_prediction,scenario_prediction,emission_change,emission_change_percent,reduction_probability,success_score,expected_reduction,expected_reduction_percent,investment_efficiency
Equatorial Guinea,Moderate,15,4.2,19.2,3.6982720142829817,3.0784651792333744,2.6463506054932906,-0.4321145737400838,-14.0366886932823,0.2525,0.55,-0.10910892986937115,-3.544263895053781,0.007273928657958077
Equatorial Guinea,Aggressive,30,4.2,34.2,3.6982720142829817,3.0784651792333744,2.4506335826748646,-0.6278315965585097,-20.394305603770306,0.2525,0.55,-0.15852747813102372,-5.149562164952004,0.005284249271034124
Eritrea,Conservative,5,80.7,85.7,0.2346421575111741,0.21956466146875983,0.2159150551280783,-0.0036496063406815382,-1.662201155808861,0.29000000000000004,0.7000000000000001,-0.0010583858387976462,-0.4820383351845697,0.00021167716775952924
Eritrea,Moderate,15,80.7,95.0,0.2346421575111741,0.21956466146875983,0.22621350798679987,0.006648846518040041,3.028195190229214,0.29000000000000004,0.7000000000000001,0.0019281654902316122,0.8781766051664721,0.00012854436601544082
Eritrea,Aggressive,30,80.7,95.0,0.2346421575111741,0.21956466146875983,0.23473634171099153,0.0151716802422317,6.909891665053013,0.29000000000000004,0.7000000000000001,0.004399787270247193,2.003868582865374,0.00014665957567490645
Estonia,Conservative,5,38.0,43.0,11.862044423356366,9.51922937787038,9.27168463125755,-0.24754474661282977,-2.6004704455205587,0.2775,0.65,-0.06869366718506027,-0.7216305486319552,0.013738733437012055
Estonia,Moderate,15,38.0,53.0,11.862044423356366,9.51922937787038,9.13655551649119,-0.3826738613791889,-4.020008828328074,0.2775,0.65,-0.10619199653272493,-1.1155524498610407,0.007079466435514995
Estonia,Aggressive,30,38.0,68.0,11.862044423356366,9.51922937787038,9.13655551649119,-0.3826738613791889,-4.020008828328074,0.2775,0.65,-0.10619199653272493,-1.1155524498610407,0.0035397332177574976
Eswatini,Conservative,5,64.7,69.7,0.8942364410374127,0.9449514716638159,0.9043962262093567,-0.04055524545445921,-4.2917807602386056,0.29000000000000004,0.7000000000000001,-0.011761021181793173,-1.2446164204691958,0.0023522042363586346
Eswatini,Moderate,15,64.7,79.7,0.8942364410374127,0.9449514716638159,0.8935063198281114,-0.05144515183570453,-5.444210986319,0.29000000000000004,0.7000000000000001,-0.014919094032354314,-1.5788211860325099,0.000994606268823621
Eswatini,Aggressive,30,64.7,94.7,0.8942364410374127,0.9449514716638159,0.9001680425058592,-0.044783429157956633,-4.739230584942586,0.29000000000000004,0.7000000000000001,-0.012987194455807425,-1.37437686963335,0.0004329064818602475
Ethiopia,Conservative,5,90.6,95.0,0.1298408308530717,0.2143217033892255,0.2757827917914248,0.0614610884021993,28.67702497239909,0.29,0.7,0.017823715636637795,8.316337241995734,0.003564743127327559
Ethiopia,Moderate,15,90.6,95.0,0.1298408308530717,0.2143217033892255,0.29098952787762816,0.07666782448840267,35.77231016551213,0.29,0.7,0.022233669101636773,10.373969947998518,0.001482244606775785
Ethiopia,Aggressive,30,90.6,95.0,0.1298408308530717,0.2143217033892255,0.27970735280172065,0.06538564941249517,30.50817923640218,0.29,0.7,0.018961838329623597,8.847371978556632,0.0006320612776541199
Faroe Islands,Conservative,5,7.9,12.9,214.7347339922488,195.69926302234978,192.0626956299602,-3.636567392389594,-1.8582427630165785,0.34,0.9,-1.236432913412462,-0.6318025394256368,0.24728658268249243
Faroe Islands,Moderate,15,7.9,22.9,214.7347339922488,195.69926302234978,189.91592806878546,-5.783334953564321,-2.9552154996638063,0.34,0.9,-1.9663338842118692,-1.0047732698856944,0.1310889256141246
Faroe Islands,Aggressive,30,7.9,37.9,214.7347339922488,195.69926302234978,189.91592806878546,-5.783334953564321,-2.9552154996638063,0.34,0.9,-1.9663338842118692,-1.0047732698856944,0.0655444628070623
Fiji,Conservative,5,28.4,33.4,2.066515702256418,1.9897508287852566,1.9710975293101785,-0.0186532994750781,-0.9374691144853521,0.29,0.7,-0.005409456847772649,-0.27186604320075214,0.0010818913695545297
Fiji,Moderate,15,28.4,43.4,2.066515702256418,1.9897508287852566,1.9682636834276277,-0.021487145357628856,-1.0798912631058817,0.29,0.7,-0.006231272153712368,-0.31316846630070566,0.0004154181435808245
