country,date,transport_emissions_Mt,total_emissions_Mt,vehicles_per_1000,ownership_fraction,ev_share_vkt,grid_ef_g_per_kwh,ev_g_per_km,reduction_factor,ev_reduction_Mt,pct_of_total_reduced,GDP_per_capita_current_USD,Urban_population_percent,Fossil_fuel_energy_consumption_percent,Renewable_energy_consumption_percent
European Union,2022,4.04,11.58,600.0,0.6,0.8333333333333334,565.0650940735948,101.71171693324705,0.43493490592640527,1.464280849952231,12.644912348464862,37962.8295010744,75.4620574704142,68.6753458764793,21.0591470733795
Euro area,2022,4.04,11.58,600.0,0.6,0.8333333333333334,567.6235803773451,102.17224446792211,0.43237641962265494,1.4556672793962717,12.570529183042071,41446.4322827569,77.7126830118197,69.016477383646,19.8074872686191
Nicaragua,2022,2.22,5.21,50.0,0.05,1.0,348.875,62.7975,0.651125,1.4454975,27.74467370441459,2322.89053964583,59.556,39.85,50.4
Channel Islands,2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,55666.86673271664,31.077,69.83449911968395,20.9
Andorra,2022,4.04,0.46,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,311.95918055680727,42414.0590092117,87.811,69.83449911968395,18.7
Isle of Man,2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,55666.86673271664,53.271,69.83449911968395,2.7
San Marino,2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,54264.570495898,97.732,69.83449911968395,20.9
Puerto Rico (US),2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,35353.6821570014,93.61,69.83449911968395,2.5
Monaco,2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,55666.86673271664,100.0,69.83449911968395,20.9
Faroe Islands,2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,55666.86673271664,42.779,69.83449911968395,7.9
"Macao SAR, China",2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,36909.9564090312,100.0,69.83449911968395,11.0
Cayman Islands,2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,55666.86673271664,100.0,69.83449911968395,0.0
New Caledonia,2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,33516.363085906,72.325,69.83449911968395,9.6
Bermuda,2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,55666.86673271664,100.0,69.83449911968395,0.9
Aruba,2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,30559.5335346581,44.052,69.83449911968395,8.8
Virgin Islands (U.S.),2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,44320.909185774,96.136,69.83449911968395,5.9
Liechtenstein,2022,4.04,0.14,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,1025.0087361152239,55666.86673271664,14.538,69.83449911968395,56.9
Turks and Caicos Islands,2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,31280.5418020808,94.047,69.83449911968395,0.8
Greenland,2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,55635.0006491223,87.727,69.83449911968395,11.7
Guam,2022,4.04,11.58,600.0,0.6,0.8333333333333334,573.7587433976297,103.27657381157334,0.42624125660237033,1.4350122305613136,12.392160885676283,41833.1517132825,95.091,69.83449911968395,6.7
Viet Nam,2022,4.04,11.58,150.0,0.15,1.0,645.125,116.1225,0.354875,1.433695,12.380785837651121,4147.69777213621,38.766,79.35,24.2
World,2022,4.04,11.58,400.0,0.4,1.0,654.8685598676923,117.8763407761846,0.34513144013230773,1.3943310181345232,12.040855078881894,12819.7448379733,56.815715402616,80.6491413156923,19.7355641050053
Low & middle income,2022,4.04,11.58,150.0,0.15,1.0,655.3103588548737,117.95586459387727,0.3446896411451263,1.3925461502263101,12.025441711798878,5702.28344160279,52.1006417998491,80.7080478473165,24.5991935538732
IDA & IBRD total,2022,4.04,11.58,150.0,0.15,1.0,657.9298647046783,118.42737564684208,0.34207013529532176,1.3819633465931,11.934053079387738,6043.77728725502,52.3261779252217,81.0573152939571,23.435247290857
Early-demographic dividend,2022,4.04,11.58,150.0,0.15,1.0,659.147343447851,118.64652182061317,0.340852656552149,1.377044732470682,11.89157800061038,4113.00084852322,46.6251546023672,81.2196457930468,24.9895503831566
Middle income,2022,4.04,11.58,150.0,0.15,1.0,663.1893298744587,119.37407937740257,0.3368106701255413,1.3607151073071868,11.75056223926759,6205.5459977675,53.6143634433195,81.7585773165945,23.3167480903784
